token_ids,price
0,531795.0
1,614766.9
2,558975.44
3,462505.94
4,276159.16
5,125298.555
6,433255.62
7,234754.25
8,344566.7
9,353066.97
10,583912.7
11,426818.53
12,430973.72
13,514715.16
14,321675.4
15,566647.1
16,389864.84
17,108210.0
18,405677.97
19,382789.2
20,382301.16
21,523800.5
22,336192.38
23,408015.0
24,270420.25
25,225206.2
26,325022.1
27,143458.81
28,276509.12
29,485373.97
30,608099.5
31,378894.88
32,220515.6
33,704914.7
34,338100.44
35,340448.38
36,303603.9
37,352697.1
38,176928.84
39,335113.1
40,146873.95
41,418647.16
42,542491.94
43,237104.14
44,175337.34
45,413859.47
46,274508.75
47,357345.72
48,380617.22
49,318633.1
50,312730.84
51,397100.8
52,429050.28
53,526130.75
54,349189.75
55,316558.34
56,351598.84
57,549012.6
58,514084.84
59,388851.75
60,279381.53
61,342703.8
62,335764.75
63,509149.88
64,398493.25
65,327784.62
66,630883.8
67,356766.78
68,424328.28
69,437614.03
70,300263.22
71,322887.12
72,243793.83
73,243061.4
74,231845.39
75,159355.27
76,222161.25
77,285931.88
78,341060.66
79,290738.03
80,248335.45
81,324116.94
82,122871.984
83,162329.58
84,151530.4
85,145307.7
86,203576.7
87,160166.75
88,147118.4
89,122217.23
90,192393.9
91,172006.16
92,199389.34
93,162081.25
94,180904.77
95,162306.4
96,130892.07
97,170276.89
98,122069.05
99,177550.88
100,158001.44
101,184588.75
102,166435.89
103,161576.27
104,172755.67
105,165180.45
106,173740.89
107,177111.6
108,171563.08
109,160252.95
110,164648.42
111,157589.64
112,180639.36
113,176838.33
114,214173.73
115,172618.28
116,185719.95
117,169971.06
118,179499.9
119,147628.89
120,178119.34
121,161631.23
122,185580.48
123,175046.12
124,170689.73
125,161262.19
126,163886.55
127,203981.95
128,207741.52
129,196845.8
130,151579.69
131,145594.58
132,181504.72
133,170355.84
134,200255.92
135,226516.45
136,162230.27
137,166912.78
138,173268.31
139,147634.64
140,161712.42
141,120374.04
142,150732.95
143,157892.12
144,148346.05
145,155790.38
146,200332.58
147,174000.45
148,133853.86
149,163829.33
150,120794.21
151,155019.83
152,174146.56
153,164410.44
154,163253.88
155,166268.33
156,168256.23
157,170762.53
158,146163.48
159,191643.66
160,179008.27
161,165789.61
162,180258.4
163,168404.33
164,179863.2
165,139367.17
166,158309.78
167,148460.38
168,177571.45
169,150551.88
170,183095.27
171,137018.58
172,140709.31
173,178900.6
174,180467.36
175,155454.92
176,141447.77
177,167294.8
178,155186.64
179,180042.5
180,238040.6
181,190816.11
182,189316.9
183,169460.53
184,196494.39
185,163713.83
186,139442.84
187,194819.28
188,151805.73
189,154042.97
190,184328.89
191,159803.92
192,186902.02
193,137382.22
194,198527.53
195,166464.5
196,180248.19
197,169829.03
198,195666.56
199,180291.5
200,193594.22
201,163532.06
202,194170.78
203,170653.47
204,166461.27
205,160120.72
206,150423.58
207,189641.2
208,192445.1
209,195539.28
210,207518.84
211,191629.67
212,155547.7
213,178675.75
214,171078.45
215,181588.3
216,157365.4
217,185835.86
218,179820.14
219,175918.02
220,171127.1
221,136133.9
222,132882.6
223,155954.67
224,215433.11
225,210687.86
226,180797.25
227,168566.12
