,token_ids,Artifact,Category,Eastern Resource,Eastern Resource Tier,Environment,Environment Tier,Koda,Northern Resource,Northern Resource Tier,Obelisk Piece,Plot,Sediment,Sediment Tier,Southern Resource,Southern Resource Tier,Western Resource,Western Resource Tier,block_timestamp,price_usd,koda_or_not
75159,70359,18,4,62,3,1,1,9992,74,0,1,0.6653667783662075,4,2,74,0,74,0,-1.5948932844975767,11428.57616961035,0
75160,70360,74,6,55,1,18,3,9992,74,0,0,0.6654014927440218,4,0,74,0,3,1,-1.5948932844975767,10857.147361129832,0
75164,70364,74,4,42,3,1,0,9992,42,1,1,0.6655403502552792,4,2,4,1,39,1,-1.6219853260386474,16385.34149332562,0
75165,70365,74,5,74,0,21,3,9992,51,3,0,0.6655750646330937,4,2,28,2,74,0,-1.4458870560216879,10041.707895962712,0
75166,70366,28,6,74,0,24,0,9992,42,1,1,0.665609779010908,4,0,55,2,74,0,-1.4187950144806172,7656.627560433513,0
75169,70369,74,1,44,2,2,1,9992,74,0,0,0.6657139221443511,4,1,74,0,55,2,-1.0395064329056274,7212.630691247674,0
75170,70369,74,1,44,2,2,1,9992,74,0,0,0.6657139221443511,4,1,74,0,55,2,-1.4187950144806172,12725.400554351789,0
75171,70370,74,6,4,1,18,0,9992,4,3,1,0.6657486365221654,4,1,51,1,47,1,-0.5247576436252841,3807.993525927186,0
75172,70371,44,7,4,1,12,1,9992,60,1,1,0.6657833508999798,4,1,62,2,74,0,-1.608439305268112,19453.984295549923,0
75173,70372,74,5,74,0,21,2,9992,74,0,0,0.6658180652777942,4,0,74,0,36,3,-0.7279479551833143,3391.171379724863,0
75174,70373,74,2,4,2,4,2,4309,74,0,1,0.6658527796556085,4,0,74,0,74,0,-1.5542552221859707,59062.84935742436,1
75176,70375,74,6,74,0,24,0,1655,38,2,1,0.6659222084112373,4,0,74,0,74,0,-1.608439305268112,84828.4198933863,1
75177,70375,74,6,74,0,24,0,1655,38,2,1,0.6659222084112373,4,0,74,0,74,0,-1.608439305268112,73517.96390760146,1
75178,70376,74,4,27,1,10,0,9992,74,0,1,0.6659569227890516,4,2,29,2,74,0,-1.567801242956506,11172.86125790501,0
75179,70377,74,3,55,1,3,1,9992,74,0,1,0.6659916371668659,4,0,74,0,74,0,-1.6219853260386474,19659.678901741856,0
75180,70378,74,3,62,3,23,0,9992,74,0,1,0.6660263515446803,4,0,74,0,74,0,-1.6219853260386474,17748.055727520532,0
75181,70379,74,6,42,1,18,0,9992,47,1,0,0.6660610659224947,4,1,55,2,36,3,-1.6219853260386474,16876.901738125387,0
75184,70382,74,6,38,3,24,3,9992,4,1,0,0.6661652090559378,4,0,3,2,74,0,-1.1207825575288395,8366.627452500006,0
75187,70385,57,5,74,0,21,0,9992,42,1,1,0.6662693521893808,4,1,74,0,74,0,-1.3646109313984758,7601.983506685312,0
75188,70386,74,3,74,0,23,0,9992,74,0,0,0.6663040665671952,4,0,74,0,4,1,-1.3781569521690111,6028.173432094529,0
75191,70389,38,6,74,0,20,3,9992,74,0,0,0.6664082097006383,4,1,41,1,74,0,-1.5813472637270414,48704.1868860816,0
75193,70391,74,1,74,0,26,1,9992,74,0,1,0.666477638456267,4,1,74,0,74,0,-0.3351133528377892,3560.3006575909776,0
75194,70391,74,1,74,0,26,1,9992,74,0,1,0.666477638456267,4,1,74,0,74,0,-1.6219853260386474,13381.362219549255,0
75198,70395,74,4,32,2,22,1,9992,62,1,1,0.6666164959675244,4,2,74,0,74,0,-1.6219853260386474,19088.922839724342,0
75199,70396,74,5,74,0,11,1,9992,51,1,0,0.6666512103453388,4,1,74,0,32,2,-1.6219853260386474,19662.409791990744,0
75200,70397,10,1,74,0,2,3,9992,74,0,0,0.6666859247231531,4,1,74,0,29,1,-1.1207825575288395,8366.627452500006,0
75201,70397,10,1,74,0,2,3,9992,74,0,0,0.6666859247231531,4,1,74,0,29,1,-1.6219853260386474,21164.399428878925,0
75202,70397,10,1,74,0,2,3,9992,74,0,0,0.6666859247231531,4,1,74,0,29,1,-1.6219853260386474,15839.1634435481,0
75203,70398,74,5,74,0,0,0,5332,73,2,1,0.6667206391009675,4,1,36,2,55,3,-1.6219853260386474,17750.786617769423,1
75208,70403,74,7,3,1,15,0,9992,29,3,1,0.6668942109900393,4,0,32,3,45,2,-1.608439305268112,21207.104973346573,0
75209,70404,74,6,74,0,18,0,9992,10,3,1,0.6669289253678536,4,1,74,0,55,1,-0.7279479551833143,3615.737243666509,0
75214,70409,74,7,74,0,6,0,9992,74,0,1,0.6671024972569254,4,0,74,0,74,0,-1.608439305268112,11169.07528596253,0
75215,70409,74,7,74,0,6,0,9992,74,0,1,0.6671024972569254,4,0,74,0,74,0,-1.608439305268112,13855.30858258643,0
75216,70410,74,4,74,0,1,0,9992,69,1,1,0.6671372116347398,4,0,74,0,74,0,-1.6219853260386474,15019.896368881818,0
75217,70411,34,4,51,1,7,1,9992,62,1,1,0.6671719260125542,4,1,42,1,39,2,-1.608439305268112,25448.52596801589,0
75218,70412,74,4,74,0,22,2,9992,73,1,1,0.6672066403903685,4,1,74,0,62,1,-1.5948932844975767,11371.433288762297,0
75219,70413,74,6,31,1,27,4,9992,36,1,1,0.6672413547681828,4,0,51,2,29,1,-1.5948932844975767,17085.721373567474,0
75220,70414,74,4,74,0,7,0,9992,31,3,1,0.6672760691459972,4,2,74,0,55,2,0.13899737413094806,3018.359156469733,0
75227,70421,74,7,74,0,25,1,9992,74,0,1,0.6675190697906977,4,0,74,0,4,1,-1.6219853260386474,19116.231742213226,0
75228,70422,7,3,51,2,23,2,2176,74,0,1,0.6675537841685121,4,2,29,3,3,1,-1.608439305268112,81661.49221736654,1
