block_timestamp,max_trade_price,min_trade_price,average_trade_price,trade_times
2022-05-01,832921.5259107191,0.00016385341493325618,25412.53052295357,11530
2022-05-02,848284.198933863,5.372466593247799,28275.656005285982,6073
2022-05-03,951428.9661200616,14.000005807772677,23705.28576141216,2513
2022-05-04,523222.1219761909,13.637172328102848,22084.40380711422,1978
2022-05-05,980065.7481835465,147.0113323408554,29442.912051573076,1100
2022-05-06,489212.9914202669,10.443872850545024,21082.647138200075,746
2022-05-07,552513.2158020918,0.26957124112123915,20917.623049181515,607
2022-05-08,329499.0819191488,8.17157723159489,18700.074458673684,442
2022-05-09,269663.65351905895,7.308641076684775,14522.66656216286,815
2022-05-10,402500.8466344028,7.381232530667015,17415.590354595064,635
2022-05-11,126508.72960633424,23.427542519691524,13671.579529034121,475
2022-05-12,394010.4129952445,4482.129036718389,12803.80661174403,876
2022-05-13,245030.4010444207,4246.788501173566,12370.961697835524,442
2022-05-14,301854.9467724262,3972.4110995251285,13036.176842440687,312
2022-05-15,61623.96153544113,4695.951282205733,12621.832573494554,193
2022-05-16,267340.3477804998,5138.49535661943,14287.252353332531,192
2022-05-17,279248.22411352897,0.20235378558951372,15183.701759223793,223
2022-05-18,334760.53549853363,5476.339016617037,16595.924034590924,345
2022-05-19,381432.91350931994,19.1674830909206,17487.430871426688,330
2022-05-20,110904.26866517033,5079.7158336243465,19805.397074268927,281
2022-05-21,460550.4420039168,5487.409521748795,20003.1720846934,227
2022-05-22,72842.84570604937,197.40608592425303,13644.459826018312,175
2022-05-23,81575.23694176054,6158.930389102921,12426.15275650066,162
2022-05-24,353135.40633796295,197.28234990947652,16623.223707651294,193
2022-05-25,70618.98362044239,5078.076759974877,10791.823455158534,133
2022-05-26,68155.54749958619,19.473013571310343,10643.933196222511,202
2022-05-27,194513.83504536893,4196.095674895376,14098.187533959725,171
2022-05-28,274549.01302461926,3827.2823104972867,12502.654040229569,106
2022-05-29,340372.7781669349,3941.1584840381943,13452.656734629787,136
2022-05-30,317054.463252516,3895.240548530911,11406.329874754669,118
2022-05-31,146706.75220139924,4421.362269405707,11105.00115498751,155
2022-06-01,53427.88571983751,4538.456037874197,8688.105414307687,118
2022-06-02,50115.213023311895,4350.857841877574,9631.098217915553,77
2022-06-03,48545.30138035984,915.9490826482988,10408.289281479852,94
2022-06-04,51129.16091821899,4793.358836083031,9388.051407537956,101
2022-06-05,54077.50850755582,4.326200680604465,11605.556072395266,70
2022-06-06,63186.210228324046,4603.74727723569,9980.387730917484,66
2022-06-07,250998.8235750002,4666.458572873704,10584.661531020882,94
2022-06-08,46965.11512445236,3792.2142686493444,6711.969263090627,89
2022-06-09,358192.6775810685,4298.312130972821,14947.27169839515,84
2022-06-10,43286.41291881092,3579.357061645973,11444.098043057455,109
2022-06-11,291333.7430833626,166.47642461906435,9876.973585642227,142
2022-06-12,33693.24236897912,15.31511016771778,6301.914503467207,148
2022-06-13,86479.44198805961,2019.5365935493487,5751.295574117171,429
2022-06-14,28951.007945621946,1931.3941175723041,5059.4488302394275,266
2022-06-15,27798.298708884966,2163.4328125610473,5854.8812999304,50
2022-06-16,47801.221514861885,2495.0508387602326,10365.546664652804,40
2022-06-17,6149.321174726509,1120.0147724468354,3540.055988990427,25
2022-06-18,38023.22859800551,2336.2558028574526,7253.84149477928,17
2022-06-19,3975.483070325901,1982.7721813250432,2918.2091940713603,17
2022-06-20,25991.52482491848,2712.1591121654064,5795.473630200238,19
2022-06-21,25794.76142721001,2703.381110275285,8058.328526212246,5
2022-06-22,6757.569963969836,3367.522365378302,4393.828303656221,8
2022-06-23,6307.975709853074,3153.987854926537,3822.6332801709627,5
2022-06-24,4836.708696447231,4219.256522432691,4539.4169089587485,3
2022-06-25,3249.383012889521,3249.383012889521,3249.383012889521,1
2022-06-26,22845.63352710673,3105.714182586559,6502.675339629013,9
2022-06-27,28794.422806346447,3239.3725657139753,6328.016826003375,48
2022-06-28,35206.43522433456,3699.6592947605805,9707.296009783093,18
2022-06-29,27468.65144422413,214.60742336157736,3631.239091587353,99
2022-06-30,109960.31141928509,1.814345138418205,6295.893098392701,93
2022-07-01,27765.554099825407,208.32177951004059,4242.661147822745,95
2022-07-02,25455.756510857973,210.80548360554258,5227.2145112084245,92
2022-07-03,19414.25609453157,212.8101148823653,4108.659134481204,78
2022-07-04,9127.25127490684,221.47006769994536,3410.9787072580707,93
2022-07-05,63242.379250020655,224.22298097734597,4982.288215918962,128
2022-07-06,39695.98605029103,271.3504189294894,5375.889524101483,199
2022-07-07,46300.68880264646,276.02333709270005,5746.577219972429,146
2022-07-08,40839.44230284998,250.60566867657943,5079.657990810115,92
2022-07-09,42683.44841463808,352.1384494207641,7863.927707062678,95
2022-07-10,51937.73269262163,264.6159957986696,6211.81422341247,79
2022-07-11,40869.77492294051,249.5975539936724,6373.280264075519,82
2022-07-12,26306.30361049107,220.40712904163007,4681.6165812494455,80
2022-07-13,51909.3292283966,214.12598306713596,4660.6820800056785,101
2022-07-14,33425.44490828824,250.6908368121618,5806.484631180864,92
2022-07-15,148939.8502978335,268.0917305361003,6200.150308267785,113
2022-07-16,71727.93206565153,267.7104285590598,6637.459832584509,265
2022-07-17,40466.584778289434,266.1331181931163,8976.948558820595,168
2022-07-18,40162.34579685971,0.6918262033563776,6719.740441789214,146
2022-07-19,40679.335576134145,0.7744719657764015,5935.071698205242,123
2022-07-20,77052.21716784406,296.17669061513635,7473.610569263987,102
2022-07-21,53235.74949246206,266.1787474623103,6679.724841744845,100
